iter	Passed	Remaining
399	72795	18198
400	72973	18015
401	73150	17832
402	73327	17649
403	73513	17468
404	73680	17283
405	73862	17101
406	74042	16918
407	74215	16734
408	74386	16550
409	74576	16370
410	74755	16187
411	74937	16006
412	75105	15821
413	75289	15639
414	75459	15455
415	75645	15274
416	75823	15091
417	75995	14908
418	76185	14728
419	76375	14547
420	76565	14367
421	76748	14185
422	76926	14003
423	77102	13820
424	77278	13637
425	77453	13454
426	77632	13272
427	77826	13092
428	77992	12907
429	78182	12727
430	78370	12546
431	78572	12367
432	78751	12185
433	78922	12002
434	79117	11822
435	79295	11639
436	79465	11456
437	79633	11272
438	79817	11090
439	80004	10909
440	80185	10727
441	80364	10545
442	80548	10364
443	80730	10182
444	80908	9999
445	81081	9817
446	81264	9635
447	81446	9453
448	81620	9270
449	81800	9088
450	81972	8906
451	82203	8729
452	82391	8548
453	82563	8365
454	82745	8183
455	82923	8001
456	83093	7818
457	83263	7635
458	83447	7453
459	83629	7272
460	83811	7090
461	83986	6907
462	84173	6726
463	84346	6544
464	84516	6361
465	84701	6179
466	84872	5997
467	85048	5815
468	85219	5632
469	85387	5450
470	85573	5268
471	85753	5087
472	85932	4905
473	86106	4723
474	86277	4540
475	86449	4358
476	86637	4177
477	86822	3995
478	87000	3814
479	87224	3634
480	87442	3454
481	87645	3273
482	87843	3091
483	88035	2910
484	88209	2728
485	88382	2545
486	88560	2364
487	88744	2182
488	88944	2000
489	89122	1818
490	89285	1636
491	89459	1454
492	89645	1272
493	89820	1090
494	90001	909
495	90186	727
496	90357	545
497	90534	363
498	90726	181
499	90901	0
