iter	Passed	Remaining
399	63663	15915
400	63837	15760
401	64001	15602
402	64165	15444
403	64329	15286
404	64484	15126
405	64660	14970
406	64854	14819
407	65024	14662
408	65177	14501
409	65329	14340
410	65488	14181
411	65638	14019
412	65793	13859
413	65957	13701
414	66117	13542
415	66276	13382
416	66452	13226
417	66626	13070
418	66793	12912
419	66955	12753
420	67112	12593
421	67260	12432
422	67409	12270
423	67562	12110
424	67722	11950
425	67882	11791
426	68047	11633
427	68207	11474
428	68366	11314
429	68517	11154
430	68668	10993
431	68819	10832
432	68976	10673
433	69130	10512
434	69283	10352
435	69443	10193
436	69603	10034
437	69765	9875
438	69913	9714
439	70059	9553
440	70214	9393
441	70366	9233
442	70516	9073
443	70670	8913
444	70823	8753
445	70987	8594
446	71151	8436
447	71309	8277
448	71477	8118
449	71623	7958
450	71770	7797
451	71926	7638
452	72082	7478
453	72245	7320
454	72407	7161
455	72573	7002
456	72731	6843
457	72882	6683
458	73043	6524
459	73191	6364
460	73337	6204
461	73502	6045
462	73648	5885
463	73793	5725
464	73938	5565
465	74093	5405
466	74240	5246
467	74382	5085
468	74535	4926
469	74684	4767
470	74838	4607
471	74984	4448
472	75125	4288
473	75281	4129
474	75430	3970
475	75580	3810
476	75726	3651
477	75872	3492
478	76025	3333
479	76176	3174
480	76332	3015
481	76487	2856
482	76646	2697
483	76799	2538
484	76947	2379
485	77098	2220
486	77245	2061
487	77389	1903
488	77555	1744
489	77702	1585
490	77851	1427
491	78003	1268
492	78156	1109
493	78306	951
494	78449	792
495	78603	633
496	78746	475
497	78885	316
498	79040	158
499	79188	0
